expression_key,lang_key,expression,lang,paraphrase_candidates_maggie,wordnet_synonyms,wordnet_synonym1,paraphrase1_gpt55pro20260423,paraphrase1_gpt5nano20250807
montanha-russa,pt,montanha-russa,pt,Montanha Russa|Montanhas-russas|oscilação|altibajos,Montanha Russa|Montanhas-russas,Montanha Russa,oscilação,altibajos
monte baixo,gl,monte baixo,gl,mato|colina,,,mato,colina
monument historique,fr,monument historique,fr,patrimoine,,,patrimoine,patrimoine
mort né,fr,mort né,fr,natimort|décédé,,,natimort,décédé
mother tongue,eng,mother tongue,eng,maternal language|first language|vernacular|native,maternal language|first language,maternal language,vernacular,native
move heaven and earth,eng,move heaven and earth,eng,strive|endeavor,,,strive,endeavor
move the goalposts,eng,move the goalposts,eng,alter|redefine,,,alter,redefine
muddy the waters,eng,muddy the waters,eng,confuse,,,confuse,confuse
music festival,eng,music festival,eng,festival|concert,,,festival,concert
music journalist,eng,music journalist,eng,critic,,,critic,critic
má-fé,pt,má-fé,pt,desonestidade|malícia,,,desonestidade,malícia
máquina virtual,pt,máquina virtual,pt,emulador,,,emulador,emulador
mão fechado,pt,mão fechado,pt,sovina|avaro,,,sovina,avaro
mão-fechada,pt,mão-fechada,pt,sovina|avarento,,,sovina,avarento
narrow escape,eng,narrow escape,eng,close call|close shave|squeak|squeaker|closecall,close call|close shave|squeak|squeaker,close call,squeak,closecall
navio negreiro,pt,navio negreiro,pt,Navios negreiros|tumbeiro|escravidão,Navios negreiros,Navios negreiros,tumbeiro,escravidão
neither here nor there,eng,neither here nor there,eng,irrelevant,,,irrelevant,irrelevant
nest egg,eng,nest egg,eng,savings,savings,savings,savings,savings
net income,eng,net income,eng,net|net profit|lucre|profit|profits|earnings,net|net profit|lucre|profit|profits|earnings,net,profit,profit
news agency,eng,news agency,eng,press agency|wire service|press association|news organization|news organisation|newswire|press,press agency|wire service|press association|news organization|news organisation,press agency,newswire,press
night and day,eng,night and day,eng,constantly|completely,,,constantly,completely
night owl,eng,night owl,eng,nighthawk|nightbird|nocturnal,nighthawk|nightbird,nighthawk,nighthawk,nocturnal
nip and tuck,eng,nip and tuck,eng,face lift|facelift|lift|face lifting|cosmetic surgery|rhytidectomy|rhytidoplasty|neck and neck|head-to-head|close,face lift|facelift|lift|face lifting|cosmetic surgery|rhytidectomy|rhytidoplasty|neck and neck|head-to-head,face lift,close,close
no strings attached,eng,no strings attached,eng,unconditional,,,unconditional,unconditional
noble gas,eng,noble gas,eng,inert gas|argonon|inert,inert gas|argonon,inert gas,argonon,inert
noise complaint,eng,noise complaint,eng,complaint|nuisance,,,complaint,nuisance
nouveau monde,fr,nouveau monde,fr,hémisphère ouest|Amérique|modernité,hémisphère ouest,hémisphère ouest,Amérique,modernité
novo mundo,pt,novo mundo,pt,poente|América|novidade,poente,poente,América,novidade
novo rico,pt,novo rico,pt,parvenu,,,parvenu,parvenu
novo-rico,pt,novo-rico,pt,parvenu,,,parvenu,parvenu
nuit blanc,fr,nuit blanc,fr,insomnie,,,insomnie,insomnie
number crunching,eng,number crunching,eng,calculation,,,calculation,calculation
numéro vert,fr,numéro vert,fr,gratuit,,,gratuit,gratuit
nut case,eng,nut case,eng,crackpot|crank|nut|fruitcake|screwball|lunatic,crackpot|crank|nut|fruitcake|screwball,crackpot,lunatic,lunatic
nuts and bolts,eng,nuts and bolts,eng,basics|essentials,,,basics,essentials
nó cego,pt,nó cego,pt,dificuldade|impasse,,,dificuldade,impasse
núcleo atômico,pt,núcleo atômico,pt,núcleo,,,núcleo,núcleo
oeil rouge,fr,oeil rouge,fr,rotengle|rougeur,,,rotengle,rougeur
off and running,eng,off and running,eng,underway,,,underway,underway
off the hook,eng,off the hook,eng,free|cleared,,,free,cleared
oil and water,eng,oil and water,eng,incompatible,,,incompatible,incompatible
old flame,eng,old flame,eng,ex|exlover,,,ex,exlover
old hat,eng,old hat,eng,outdated|trite,,,outdated,trite
old timer,eng,old timer,eng,veteran|elder,,,veteran,elder
olho gordo,pt,olho gordo,pt,inveja,,,inveja,inveja
olho mágico,pt,olho mágico,pt,visor,,,visor,visor
olho nu,pt,olho nu,pt,vista|visível,,,vista,visível
on a roll,eng,on a roll,eng,successful|streak,,,successful,streak
on a shoestring,eng,on a shoestring,eng,cheaply,,,cheaply,cheaply
on and off,eng,on and off,eng,off and on|intermittently,off and on,off and on,intermittently,intermittently
on the back burner,eng,on the back burner,eng,deferred,,,deferred,deferred
on the back of,eng,on the back of,eng,following|because,,,following,because
on the ball,eng,on the ball,eng,alert|competent,,,alert,competent
on the bounce,eng,on the bounce,eng,consecutively|immediately,,,consecutively,immediately
on the button,eng,on the button,eng,on the nose|precisely|exactly|on the dot|punctual,on the nose|precisely|exactly|on the dot,on the nose,exactly,punctual
on the cards,eng,on the cards,eng,likely,,,likely,likely
on the fly,eng,on the fly,eng,spontaneously|improvised,,,spontaneously,improvised
on the game,eng,on the game,eng,prostituting|involved,,,prostituting,involved
on the hop,eng,on the hop,eng,busy,,,busy,busy
on the horn,eng,on the horn,eng,telephoning|phoning,,,telephoning,phoning
on the make,eng,on the make,eng,opportunistic|opportunist,,,opportunistic,opportunist
on the mend,eng,on the mend,eng,recovering,,,recovering,recovering
on the nose,eng,on the nose,eng,on the button|precisely|exactly|on the dot|exact,on the button|precisely|exactly|on the dot,on the button,exactly,exact
on the rocks,eng,on the rocks,eng,troubled,,,troubled,troubled
on the ropes,eng,on the ropes,eng,struggling|beleaguered,,,struggling,beleaguered
on the same page,eng,on the same page,eng,aligned|agreement,,,aligned,agreement
on the shelf,eng,on the shelf,eng,shelved|idle,,,shelved,idle
on the side of the angels,eng,on the side of the angels,eng,righteous|virtuous,,,righteous,virtuous
on the skids,eng,on the skids,eng,declining,,,declining,declining
on the square,eng,on the square,eng,honestly|honest,,,honestly,honest
on the trot,eng,on the trot,eng,consecutively|running,,,consecutively,running
on the wagon,eng,on the wagon,eng,sober,,,sober,sober
on the warpath,eng,on the warpath,eng,angry|belligerent,,,angry,belligerent
on thin ice,eng,on thin ice,eng,precarious,,,precarious,precarious
one of those things,eng,one of those things,eng,unavoidable|inevitability,,,unavoidable,inevitability
open the floodgates,eng,open the floodgates,eng,unleash,,,unleash,unleash
ordure ménager,fr,ordure ménager,fr,déchet|déchets,,,déchet,déchets
organisation syndical,fr,organisation syndical,fr,syndicat,,,syndicat,syndicat
out of line,eng,out of line,eng,inappropriate|improper,,,inappropriate,improper
out of order,eng,out of order,eng,broken,,,broken,broken
out of the blue,eng,out of the blue,eng,unanticipated|unforeseen|unlooked-for|unexpectedly,unanticipated|unforeseen|unlooked-for|unexpectedly,unanticipated,unexpectedly,unexpectedly
out of the box,eng,out of the box,eng,unconventional|ready,,,unconventional,ready
out of the loop,eng,out of the loop,eng,uninformed,,,uninformed,uninformed
out of the picture,eng,out of the picture,eng,uninvolved|absent,,,uninvolved,absent
out of the woods,eng,out of the woods,eng,safe,,,safe,safe
out to lunch,eng,out to lunch,eng,crazy|distracted,,,crazy,distracted
ovelha negra,pt,ovelha negra,pt,pária|paria,,,pária,paria
ovelha negro,pt,ovelha negro,pt,pária,,,pária,pária
over the hill,eng,over the hill,eng,old,,,old,old
over the moon,eng,over the moon,eng,ecstatic,,,ecstatic,ecstatic
over the top,eng,over the top,eng,excessive,,,excessive,excessive
pack a punch,eng,pack a punch,eng,powerful|impact,,,powerful,impact
page jaune,fr,page jaune,fr,annuaire,,,annuaire,annuaire
pain killer,eng,pain killer,eng,analgesic,,,analgesic,analgesic
panda car,eng,panda car,eng,cruiser|patrolcar,,,cruiser,patrolcar
papel higiênico,pt,papel higiênico,pt,Papel higienico|Papel higiénico|Papel-higiénico|papel|higiene,Papel higienico|Papel higiénico|Papel-higiénico,Papel higienico,papel,higiene
par for the course,eng,par for the course,eng,typical,,,typical,typical
parachute doré,fr,parachute doré,fr,golden parachute|parachute en or|indemnité,golden parachute|parachute en or,golden parachute,indemnité,indemnité
paraíso fiscal,pt,paraíso fiscal,pt,offshore|refúgio,,,offshore,refúgio
parc naturel,fr,parc naturel,fr,réserve,,,réserve,réserve
parking lot,eng,parking lot,eng,car park|park|parking area|carpark,car park|park|parking area,car park,carpark,carpark
parti politique,fr,parti politique,fr,parti,parti,parti,parti,parti
parti pris,fr,parti pris,fr,préjugé|biais,,,préjugé,biais
partie fin,fr,partie fin,fr,orgie|fin,,,orgie,fin
paseo marítimo,gl,paseo marítimo,gl,malecón|paseo,,,malecón,paseo
pass the buck,eng,pass the buck,eng,shirk|blame,,,shirk,blame
pastor alemão,pt,pastor alemão,pt,cão,,,cão,cão
pau mandado,pt,pau mandado,pt,capacho|lacaio,,,capacho,lacaio
pau-mandado,pt,pau-mandado,pt,capacho|fantoche,,,capacho,fantoche
pavio curto,pt,pavio curto,pt,irascível,,,irascível,irascível
pay the piper,eng,pay the piper,eng,suffer|consequences,,,suffer,consequences
peace conference,eng,peace conference,eng,parley|summit,,,parley,summit
peace talk,eng,peace talk,eng,negotiation|negotiations,,,negotiation,negotiations
peaches and cream,eng,peaches and cream,eng,pleasant|idyllic,,,pleasant,idyllic
pecking order,eng,pecking order,eng,hierarchy|power structure,hierarchy|power structure,hierarchy,hierarchy,hierarchy
pegada ecolóxica,gl,pegada ecolóxica,gl,impacto,,,impacto,impacto
pente fino,pt,pente fino,pt,escrutínio|inspeção,,,escrutínio,inspeção
peso morto,pt,peso morto,pt,estorvo|fardo,,,estorvo,fardo
petit ami,fr,petit ami,fr,ami|amie|copain|copine|petite amie|quaker|chum|homme|mec|sigisbée|swain,ami|amie|copain|copine|petite amie|quaker|chum|homme|mec|sigisbée|swain,ami,copain,copain
petit annonce,fr,petit annonce,fr,annonce,,,annonce,annonce
petit beurre,fr,petit beurre,fr,biscuit,,,biscuit,biscuit
petit déjeuner,fr,petit déjeuner,fr,déjeuner|petit-déjeuner|repas,déjeuner|petit-déjeuner,déjeuner,déjeuner,repas
petit enfant,fr,petit enfant,fr,bambin|enfant,,,bambin,enfant
petit four,fr,petit four,fr,mignardise|dessert,,,mignardise,dessert
petit joueur,fr,petit joueur,fr,timoré|amateur,,,timoré,amateur
petit nature,fr,petit nature,fr,fragile|timide,,,fragile,timide
petit nègre,fr,petit nègre,fr,sabir|enfant,,,sabir,enfant
petit pois,fr,petit pois,fr,pois,pois,pois,pois,pois
petit salé,fr,petit salé,fr,lard|salaison,,,lard,salaison
petit écran,fr,petit écran,fr,télévision,,,télévision,télévision
phone book,eng,phone book,eng,phonebook|telephone book|telephone directory|directory,phonebook|telephone book|telephone directory,phonebook,directory,directory
pick someone's brain,eng,pick someone's brain,eng,consult,,,consult,consult
pick up the pieces,eng,pick up the pieces,eng,recover,,,recover,recover
pied noir,fr,pied noir,fr,rapatrié|colons,,,rapatrié,colons
pillow slip,eng,pillow slip,eng,case|pillowcase|slip,case|pillowcase|slip,case,pillowcase,pillowcase
pipe dream,eng,pipe dream,eng,dream|fantasy,dream,dream,fantasy,fantasy
pièce monté,fr,pièce monté,fr,gâteau,,,gâteau,gâteau
planta baixa,pt,planta baixa,pt,planta,,,planta,planta
planta baixo,pt,planta baixo,pt,planta|desenho,,,planta,desenho
play with fire,eng,play with fire,eng,risk,,,risk,risk
plein lune,fr,plein lune,fr,plénilune|lune,,,plénilune,lune
poboación activa,gl,poboación activa,gl,man de obra|activos|traballadores,man de obra,man de obra,activos,traballadores
pocket book,eng,pocket book,eng,pocketbook|pocket edition|purse,pocketbook|pocket edition,pocketbook,purse,purse
poids lourd,fr,poids lourd,fr,camion|influent,,,camion,influent
point faible,fr,point faible,fr,faiblesse,,,faiblesse,faiblesse
point mort,fr,point mort,fr,neutre,,,neutre,neutre
point the finger,eng,point the finger,eng,accuse|blame,,,accuse,blame
poison pill,eng,poison pill,eng,deterrent|defense,,,deterrent,defense
polo shirt,eng,polo shirt,eng,sport shirt|polo|shirt,sport shirt,sport shirt,polo,shirt
ponto cego,pt,ponto cego,pt,lacuna,,,lacuna,lacuna
ponto forte,pt,ponto forte,pt,força|vantagem,,,força,vantagem
ponto fraco,pt,ponto fraco,pt,fraqueza,,,fraqueza,fraqueza
pop the question,eng,pop the question,eng,propose|declare oneself|offer,propose|declare oneself|offer,propose,propose,propose
porta grande,gl,porta grande,gl,portón|entrada,,,portón,entrada
pot pourri,fr,pot pourri,fr,mélange,,,mélange,mélange
poule mouillé,fr,poule mouillé,fr,froussard|lâche,,,froussard,lâche
pound the pavement,eng,pound the pavement,eng,canvass|hustle,,,canvass,hustle
poupée russe,fr,poupée russe,fr,matriochka|emboîtement,,,matriochka,emboîtement
pour cold water on,eng,pour cold water on,eng,throw cold water on|discourage|dampen,throw cold water on,throw cold water on,discourage,dampen
power behind the throne,eng,power behind the throne,eng,puppetmaster|influence,,,puppetmaster,influence
poção mágica,pt,poção mágica,pt,elixir,,,elixir,elixir
poção mágico,pt,poção mágico,pt,elixir,,,elixir,elixir
prato feito,pt,prato feito,pt,refeição,,,refeição,refeição
premier dame,fr,premier dame,fr,épouse,,,épouse,épouse
premier ministre,fr,premier ministre,fr,première|nombre premier|chancelier|François Coli|chef,première|nombre premier|chancelier|François Coli,première,chef,chef
premier plan,fr,premier plan,fr,devant|priorité,,,devant,priorité
press the panic button,eng,press the panic button,eng,panic|trigger,,,panic,trigger
primeira infância,pt,primeira infância,pt,Recém nascido|bebé|bebê|criancinha|criança|menino|nenê|recém-nascido|infância|puerícia,Recém nascido|bebé|bebê|criancinha|criança|menino|nenê|recém-nascido|infância,Recém nascido,puerícia,infância
primeira mão,pt,primeira mão,pt,primícia|direto,,,primícia,direto
primeira necessidade,pt,primeira necessidade,pt,essencial,,,essencial,essencial
primeira-dama,pt,primeira-dama,pt,esposa,,,esposa,esposa
primeiro dama,pt,primeiro dama,pt,esposa,,,esposa,esposa
primeiro infância,pt,primeiro infância,pt,puerícia|infância,,,puerícia,infância
primeiro ministro,pt,primeiro ministro,pt,chanceler|primeiroministro|premiê|líder,chanceler|primeiroministro,chanceler,premiê,líder
primeiro mão,pt,primeiro mão,pt,direto,,,direto,direto
primeiro necessidade,pt,primeiro necessidade,pt,essencial,,,essencial,essencial
primeiro plano,pt,primeiro plano,pt,anteprojeto|destaque|foco,anteprojeto,anteprojeto,destaque,foco
prince charmant,fr,prince charmant,fr,idéal,,,idéal,idéal
prison guard,eng,prison guard,eng,jailer|jailor|gaoler|screw|turnkey,jailer|jailor|gaoler|screw|turnkey,jailer,jailer,jailer
prison term,eng,prison term,eng,sentence|time,sentence|time,sentence,sentence,sentence
private eye,eng,private eye,eng,private detective|PI|private investigator|operative|shamus|sherlock|detective,private detective|PI|private investigator|operative|shamus|sherlock,private detective,detective,detective
processo seletivo,pt,processo seletivo,pt,seleção,,,seleção,seleção
pronto socorro,pt,pronto socorro,pt,emergência,,,emergência,emergência
pronto-socorro,pt,pronto-socorro,pt,emergência,,,emergência,emergência
prévision météorologique,fr,prévision météorologique,fr,météo|météorologie,météo|météorologie,météo,météo,météo
príncipe encantado,pt,príncipe encantado,pt,ideal,,,ideal,ideal
public service,eng,public service,eng,community service|utility|civic,community service,community service,utility,civic
pull the plug,eng,pull the plug,eng,terminate,,,terminate,terminate
puntos fortes,gl,puntos fortes,gl,fortalezas,,,fortalezas,fortalezas
puntos limpos,gl,puntos limpos,gl,ecoparques|ecopunto,,,ecoparques,ecopunto
puntos negros,gl,puntos negros,gl,cravos,,,cravos,cravos
puro sangue,pt,puro sangue,pt,genuíno|nobre,,,genuíno,nobre
puro-sangue,pt,puro-sangue,pt,genuíno|linhagem,,,genuíno,linhagem
push someone's buttons,eng,push someone's buttons,eng,provoke,,,provoke,provoke
push the boat out,eng,push the boat out,eng,splurge,,,splurge,splurge
push the envelope,eng,push the envelope,eng,innovate,,,innovate,innovate
put down roots,eng,put down roots,eng,settle,,,settle,settle
put the boot in,eng,put the boot in,eng,attack|humiliate,,,attack,humiliate
put the cart before the horse,eng,put the cart before the horse,eng,reverse|misordering,,,reverse,misordering
put words in someone's mouth,eng,put words in someone's mouth,eng,misrepresent|misattribute,,,misrepresent,misattribute
pão duro,pt,pão duro,pt,avarento,,,avarento,avarento
pão-duro,pt,pão-duro,pt,avarento|sovina|mesquinho,avarento|sovina,avarento,sovina,mesquinho
pé direito,pt,pé direito,pt,altura,,,altura,altura
pé frio,pt,pé frio,pt,azarado|azarento,,,azarado,azarento
pé quente,pt,pé quente,pt,sortudo,,,sortudo,sortudo
pé-direito,pt,pé-direito,pt,altura,,,altura,altura
pé-frio,pt,pé-frio,pt,azarento|azarado,,,azarento,azarado
pólo aquático,pt,pólo aquático,pt,esporte,,,esporte,esporte
pólo-aquático,pt,pólo-aquático,pt,desporto,,,desporto,desporto
quadro negro,pt,quadro negro,pt,Quadro-negro|lousa|quadro preto,Quadro-negro|lousa|quadro preto,Quadro-negro,lousa,lousa
quadro-negro,pt,quadro-negro,pt,Quadro negro|lousa|quadro preto,Quadro negro|lousa|quadro preto,Quadro negro,lousa,lousa
queda livre,pt,queda livre,pt,despencada|gravidade,,,despencada,gravidade
quinta categoria,pt,quinta categoria,pt,inferior,,,inferior,inferior
quinto categoria,pt,quinto categoria,pt,medíocre|inferior,,,medíocre,inferior
radio station,eng,radio station,eng,broadcaster,,,broadcaster,broadcaster
radioactive material,eng,radioactive material,eng,radionuclide|radioactivity,,,radionuclide,radioactivity
radioactive waste,eng,radioactive waste,eng,radwaste|hazard,,,radwaste,hazard
rainy season,eng,rainy season,eng,monsoon,,,monsoon,monsoon
raise the roof,eng,raise the roof,eng,clamor|revel,,,clamor,revel
rat race,eng,rat race,eng,competition|grind,,,competition,grind
rat run,eng,rat run,eng,shortcut,,,shortcut,shortcut
reach for the stars,eng,reach for the stars,eng,aspire|ambition,,,aspire,ambition
recherche scientifique,fr,recherche scientifique,fr,recherche|science,recherche,recherche,science,science
record book,eng,record book,eng,record|book|register|log,record|book,record,register,log
rede social,pt,rede social,pt,plataforma,,,plataforma,plataforma
regime político,pt,regime político,pt,governo,,,governo,governo
relógio analógico,pt,relógio analógico,pt,relógio,,,relógio,relógio
relógio biológico,pt,relógio biológico,pt,biorritmo|ritmo,,,biorritmo,ritmo
renda básica,gl,renda básica,gl,prestación|ingreso,,,prestación,ingreso
research lab,eng,research lab,eng,lab|laboratory|research laboratory|science lab|science laboratory,lab|laboratory|research laboratory|science lab|science laboratory,lab,laboratory,laboratory
research project,eng,research project,eng,scientific research|study,scientific research,scientific research,study,study
ressource humain,fr,ressource humain,fr,personnel,,,personnel,personnel
reta final,pt,reta final,pt,final|conclusão,,,final,conclusão
rice paper,eng,rice paper,eng,paper|wrapper,,,paper,wrapper
ride roughshod over,eng,ride roughshod over,eng,trample|bulldoze,,,trample,bulldoze
ring a bell,eng,ring a bell,eng,remind|familiar,,,remind,familiar
rise and shine,eng,rise and shine,eng,awaken|awake,,,awaken,awake
rise from the ashes,eng,rise from the ashes,eng,revive|rebirth,,,revive,rebirth
rob peter to pay paul,eng,rob Peter to pay Paul,eng,divert|misappropriate,,,divert,misappropriate
rock bottom,eng,rock bottom,eng,nadir,,,nadir,nadir
rock the boat,eng,rock the boat,eng,disrupt,,,disrupt,disrupt
rocket science,eng,rocket science,eng,complexity|difficulty,,,complexity,difficulty
roda gigante,pt,roda gigante,pt,Roda-gigante|roda|nora|atração,Roda-gigante|roda,Roda-gigante,nora,atração
role model,eng,role model,eng,model|exemplar,model,model,exemplar,exemplar
roleta russa,pt,roleta russa,pt,risco,,,risco,risco
roleta russo,pt,roleta russo,pt,risco|perigo,,,risco,perigo
rond point,fr,rond point,fr,giratoire,,,giratoire,giratoire
rough around the edges,eng,rough around the edges,eng,unpolished,,,unpolished,unpolished
roulette russe,fr,roulette russe,fr,risque|danger,,,risque,danger
round the bend,eng,round the bend,eng,balmy|barmy|bats|batty|bonkers|buggy|cracked|crackers|daft|dotty|fruity|haywire|kooky|kookie|loco|loony|loopy|nuts|nutty|around the bend|wacky|whacky|insane|crazy,balmy|barmy|bats|batty|bonkers|buggy|cracked|crackers|daft|dotty|fruity|haywire|kooky|kookie|loco|loony|loopy|nuts|nutty|around the bend|wacky|whacky,balmy,insane,crazy
rule the roost,eng,rule the roost,eng,dominate,,,dominate,dominate
run a mile,eng,run a mile,eng,avoid,,,avoid,avoid
run out of steam,eng,run out of steam,eng,flag|exhausted,,,flag,exhausted
rush hour,eng,rush hour,eng,peak|traffic,,,peak,traffic
réchauffement climatique,fr,réchauffement climatique,fr,réchauffement,,,réchauffement,réchauffement
région parisien,fr,région parisien,fr,Francilie|iledefrance,,,Francilie,iledefrance
réseau social,fr,réseau social,fr,plateforme|réseau,,,plateforme,réseau
sacred cow,eng,sacred cow,eng,untouchable|sacrosanct,,,untouchable,sacrosanct
saia justa,pt,saia justa,pt,constrangimento|enrascada,,,constrangimento,enrascada
saia justo,pt,saia justo,pt,constrangimento|embaraço,,,constrangimento,embaraço
sala cirúrgica,pt,sala cirúrgica,pt,quirófano|operatório,,,quirófano,operatório
sala cirúrgico,pt,sala cirúrgico,pt,quirófano|operatório,,,quirófano,operatório
salto cualitativo,gl,salto cualitativo,gl,avance|mellora,,,avance,mellora
salão paroquial,pt,salão paroquial,pt,salão|auditório,,,salão,auditório
sang froid,fr,sang froid,fr,calme,,,calme,calme
sangue azul,pt,sangue azul,pt,nobreza,,,nobreza,nobreza
sangue frio,pt,sangue frio,pt,calma|frieza,,,calma,frieza
sangue quente,pt,sangue quente,pt,impetuoso|impulsivo,,,impetuoso,impulsivo
save someone's skin,eng,save someone's skin,eng,rescue,,,rescue,rescue
scratch the surface,eng,scratch the surface,eng,skim|superficial,,,skim,superficial
search engine,eng,search engine,eng,finder,,,finder,finder
second degré,fr,second degré,fr,ironie,,,ironie,ironie
second rôle,fr,second rôle,fr,comparse|secondaire,,,comparse,secondaire
secretária eletrônica,pt,secretária eletrônica,pt,atendedor|gravador,,,atendedor,gravador
secretário eletrônico,pt,secretário eletrônico,pt,atendedor|assistente,,,atendedor,assistente
see eye to eye,eng,see eye to eye,eng,agree,,,agree,agree
see the light,eng,see the light,eng,reform|straighten out|understand|realize,reform|straighten out,reform,understand,realize
see the light of day,eng,see the light of day,eng,emerge,,,emerge,emerge
segundas intenções,pt,segundas intenções,pt,malícia|ulterioridade,,,malícia,ulterioridade
segundo intenção,pt,segundo intenção,pt,intencionalmente|ulterior,,,intencionalmente,ulterior
segundo plano,pt,segundo plano,pt,fundo do ecrã|fundo|secundário,fundo do ecrã,fundo do ecrã,fundo,secundário
sentença judicial,pt,sentença judicial,pt,sentença|decisão,,,sentença,decisão
separate the wheat from the chaff,eng,separate the wheat from the chaff,eng,winnow|distinguish,,,winnow,distinguish
septième ciel,fr,septième ciel,fr,béatitude|cloud 9|félicité|extase,béatitude|cloud 9|félicité,béatitude,extase,félicité
service public,fr,service public,fr,administration,,,administration,administration
set the wheels in motion,eng,set the wheels in motion,eng,initiate,,,initiate,initiate
sex bomb,eng,sex bomb,eng,sex kitten|sexpot|bombshell,sex kitten|sexpot,sex kitten,bombshell,bombshell
sexto sentido,pt,sexto sentido,pt,intuição,,,intuição,intuição
shelf life,eng,shelf life,eng,lifespan|perishability,,,lifespan,perishability
shoot the messenger,eng,shoot the messenger,eng,blame|scapegoating,,,blame,scapegoating
short and sweet,eng,short and sweet,eng,concise|succinct,,,concise,succinct
shrinking violet,eng,shrinking violet,eng,shy person|wallflower,shy person,shy person,wallflower,wallflower
shut the door on,eng,shut the door on,eng,preclude|exclude,,,preclude,exclude
sick and tired,eng,sick and tired,eng,exasperated|fedup,,,exasperated,fedup
sign on the dotted line,eng,sign on the dotted line,eng,agree|commit,,,agree,commit
silver bullet,eng,silver bullet,eng,panacea,,,panacea,panacea
silver lining,eng,silver lining,eng,bright side|upside|optimism,bright side,bright side,upside,optimism
silver screen,eng,silver screen,eng,screen|projection screen|cinema,screen|projection screen,screen,cinema,cinema
silver spoon,eng,silver spoon,eng,old money|privilege,old money,old money,privilege,privilege
sinal verde,pt,sinal verde,pt,autorização|aprovação,,,autorização,aprovação
sing the praises of,eng,sing the praises of,eng,extol|praise,,,extol,praise
sink or swim,eng,sink or swim,eng,survive|selfreliance,,,survive,selfreliance
sistema político,pt,sistema político,pt,regime,,,regime,regime
sit on the fence,eng,sit on the fence,eng,vacillate|undecided,,,vacillate,undecided
site officiel,fr,site officiel,fr,site|portail,,,site,portail
sitting duck,eng,sitting duck,eng,easy mark|vulnerable|prey,easy mark,easy mark,vulnerable,prey
six feet under,eng,six feet under,eng,dead,,,dead,dead
six of the best,eng,six of the best,eng,caning,,,caning,caning
skin tone,eng,skin tone,eng,complexion,,,complexion,complexion
slap on the wrist,eng,slap on the wrist,eng,reprimand,,,reprimand,reprimand
small fry,eng,small fry,eng,pip-squeak|squirt|child|kid|youngster|minor|shaver|nipper|tiddler|tike|tyke|fry|nestling|nobodies,pip-squeak|squirt|child|kid|youngster|minor|shaver|nipper|tiddler|tike|tyke|fry|nestling,pip-squeak,nobodies,nobodies
smell a rat,eng,smell a rat,eng,suspect|suspicion,,,suspect,suspicion
smoke and mirrors,eng,smoke and mirrors,eng,deception,,,deception,deception
smoke screen,eng,smoke screen,eng,smokescreen|cover|deception,smokescreen,smokescreen,cover,deception
smoking gun,eng,smoking gun,eng,proof,,,proof,proof
smoking jacket,eng,smoking jacket,eng,lounging jacket|jacket|robe,lounging jacket,lounging jacket,jacket,robe
snail mail,eng,snail mail,eng,post,,,post,post
snake oil,eng,snake oil,eng,humbug|quackery,humbug,humbug,quackery,quackery
social insurance,eng,social insurance,eng,welfare,,,welfare,welfare
soirée privé,fr,soirée privé,fr,fête,,,fête,fête
song and dance,eng,song and dance,eng,fairytale|fairy tale|fairy story|cock-and-bull story|rigmarole|fuss,fairytale|fairy tale|fairy story|cock-and-bull story,fairytale,rigmarole,fuss
sound judgement,eng,sound judgement,eng,judgment|judgement|sound judgment|perspicacity|wisdom|prudence,judgment|judgement|sound judgment|perspicacity,judgment,wisdom,prudence
sparkling water,eng,sparkling water,eng,soda water|carbonated water|club soda|seltzer,soda water|carbonated water|club soda|seltzer,soda water,seltzer,seltzer
speed limit,eng,speed limit,eng,maximum,,,maximum,maximum
speed trap,eng,speed trap,eng,checkpoint|enforcement,,,checkpoint,enforcement
spelling bee,eng,spelling bee,eng,spelldown|spelling contest|contest|competition,spelldown|spelling contest,spelldown,contest,competition
spend a penny,eng,spend a penny,eng,make|urinate|piddle|puddle|micturate|piss|pee|pee-pee|make water|relieve oneself|take a leak|wee|wee-wee|pass water,make|urinate|piddle|puddle|micturate|piss|pee|pee-pee|make water|relieve oneself|take a leak|wee|wee-wee|pass water,make,urinate,urinate
spill the beans,eng,spill the beans,eng,let the cat out of the bag|talk|tattle|blab|peach|babble|sing|babble out|blab out|reveal|divulge,let the cat out of the bag|talk|tattle|blab|peach|babble|sing|babble out|blab out,let the cat out of the bag,reveal,divulge
spinning jenny,eng,spinning jenny,eng,spinner|machinery,,,spinner,machinery
spit it out,eng,spit it out,eng,say|tell,,,say,tell
stag night,eng,stag night,eng,stag|bachelorparty,,,stag,bachelorparty
stand up and be counted,eng,stand up and be counted,eng,declare|advocate,,,declare,advocate
stay the course,eng,stay the course,eng,persevere,,,persevere,persevere
steal someone's thunder,eng,steal someone's thunder,eng,upstage,,,upstage,upstage
step on it,eng,step on it,eng,rush|hotfoot|hasten|hie|speed|race|pelt along|rush along|cannonball along|bucket along|belt along|hurry,rush|hotfoot|hasten|hie|speed|race|pelt along|rush along|cannonball along|bucket along|belt along,rush,hurry,hurry
street girl,eng,street girl,eng,streetwalker|hooker|hustler|floozy|floozie|slattern|homeless,streetwalker|hooker|hustler|floozy|floozie|slattern,streetwalker,streetwalker,homeless
